driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/21 26 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/19 53 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/21 51 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/12 33 30 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/12 15 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/13 12 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/15 13 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/14 42 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/10 439 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/22 654 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/23 1037 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/6 80 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-drinking/2 85 13 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/7 52 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-drinking/3 79 13 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/4 67 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/23 24 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/13 36 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/24 21 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/11 37 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/25 65 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/12 170 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-radio/7 29 29 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/24 44 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/23 182 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/26 73 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/25 32 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-radio/9 37 29 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/26 19 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-radio/8 159 29 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/12 166 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/13 45 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/24 195 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/27 84 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/14 59 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/27 52 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-radio/10 59 29 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/25 66 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/14 64 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/28 58 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/26 170 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/15 162 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/28 156 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/29 14 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/8 53 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/5 94 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/6 45 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/16 250 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/30 17 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/16 46 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/14 21 30 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/31 83 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/28 170 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/29 76 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/15 32 30 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/27 255 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/9 25 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/33 26 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/33 73 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/17 26 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/13 67 30 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/31 177 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-drinking/4 250 13 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/18 8 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/18 217 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/3 38 4 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/31 74 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/32 31 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/30 370 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/19 46 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/16 26 30 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/30 184 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/17 551 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/15 486 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/32 285 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/34 18 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/20 71 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/21 6 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/10 100 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/32 165 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/7 70 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/11 65 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/12 22 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-drinking/6 64 13 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/35 30 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-drinking/5 94 13 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/8 68 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/36 173 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/33 131 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/19 115 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/35 403 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/16 507 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/1 50 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/1 43 17 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/1 10 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/2 15 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/1 40 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/3 20 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/4 5 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/2 33 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/3 10 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/2 49 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/1 386 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/1 393 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/3 18 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/4 22 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/4 86 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_backseat/1 96 31 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/6 6 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/2 359 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/5 24 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/2 351 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/1 101 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
talking-talking/7 43 2 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/2 205 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/6 85 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/5 70 1 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_backseat/2 106 31 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/4 72 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/3 337 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/3 339 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/1 704 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/3 213 5 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/5 370 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/2 31 14 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/5 282 8 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/4 276 3 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/7 325 0 {'age': 22, 'gender': 'Male', 'exp': 'Between 1 and 3 years', 'd_freq': 'Once a week or less'}
driver_actions-change_gear/1 13 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/1 95 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/1 127 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/3 22 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/2 15 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-unclassified/1 26 17 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/3 15 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/2 47 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/4 48 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/2 196 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/1 24 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/1 232 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/2 19 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/2 56 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/3 20 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_backseat/1 71 31 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/4 26 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/4 13 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/5 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/3 33 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/5 11 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/2 163 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_backseat/2 52 31 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/4 20 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/5 187 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-hair_and_makeup/1 119 15 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/3 43 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/1 381 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/6 79 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/2 364 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/1 653 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/6 366 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/1 27 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/7 47 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/2 16 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/6 26 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/1 60 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/3 232 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/7 22 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/1 9 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/3 33 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/4 59 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/8 16 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/9 11 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/9 15 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/10 18 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/6 16 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/5 21 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/2 42 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/2 59 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/8 75 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/10 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/7 27 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/5 70 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/9 92 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/4 61 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/4 62 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/4 77 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/5 82 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/11 267 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/5 387 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/8 1153 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/3 1368 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-phonecall_right/1 1157 10 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/12 15 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/14 24 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
